2026-06-25 19:30:28 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:28 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:28 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:28 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:28 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:28 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:28 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:28 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:28 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:28 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:28 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:28 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:28 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:28 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:28 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:28 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
2026-06-25 19:30:29 | ERROR    | services.stt_service:transcribe_from_microphone - Error in microphone transcription: Could not find PyAudio; check installation
